"date","close","volume","open","high","low"
"2019/04/25","176.1500","197437.0000","176.6000","177.0000","173.9300"
"2019/04/24","176.5800","402271.0000","177.1400","177.7568","176.0300"
"2019/04/23","177.1900","558983.0000","173.0000","178.0000","172.8700"
"2019/04/22","172.7300","219892.0000","170.7100","173.1900","168.3655"
"2019/04/18","171.4200","365147.0000","170.3700","171.5600","167.9100"
"2019/04/17","169.7700","372716.0000","174.6100","174.7500","169.2000"
"2019/04/16","174.0000","494435.0000","173.4100","175.8500","173.1600"
"2019/04/15","172.2800","358227.0000","174.0600","175.4550","171.6500"
"2019/04/12","173.5600","424094.0000","172.8500","173.9800","170.9000"
"2019/04/11","172.5100","409443.0000","172.0000","172.7500","171.0600"
"2019/04/10","171.2000","356270.0000","169.9000","171.6400","168.7200"
"2019/04/09","168.9200","493663.0000","167.9100","170.3900","167.9100"
"2019/04/08","169.2700","621008.0000","168.3800","170.3100","166.5700"
"2019/04/05","168.3500","772830.0000","170.0000","171.6500","168.0000"
"2019/04/04","169.2900","388820.0000","174.8400","174.9800","167.9077"
"2019/04/03","175.0200","287874.0000","172.0000","176.0600","171.6800"
"2019/04/02","170.9600","341908.0000","171.3100","171.5600","168.5300"
"2019/04/01","171.1200","228197.0000","170.4700","171.5600","169.1200"
"2019/03/29","169.1300","351271.0000","169.4800","170.1800","168.4100"
"2019/03/28","168.0000","231083.0000","165.5000","168.4300","165.3200"
"2019/03/27","164.9500","318049.0000","169.9900","170.8400","164.3200"
"2019/03/26","170.1600","324536.0000","168.2100","170.4000","167.3700"
"2019/03/25","167.1200","284988.0000","163.9700","167.9800","162.7800"
"2019/03/22","164.2600","463360.0000","172.0800","172.9000","163.9500"
"2019/03/21","173.1300","130642.0000","167.7400","173.7100","167.5429"
"2019/03/20","168.3600","188320.0000","169.5500","170.3999","167.1900"
"2019/03/19","169.8200","272684.0000","169.9200","170.3800","168.1300"
"2019/03/18","169.0500","383297.0000","169.2300","169.9000","164.8700"
"2019/03/15","169.4700","212644.0000","168.9700","169.6900","167.8600"
"2019/03/14","168.0000","202691.0000","166.5000","168.1900","165.8600"
"2019/03/13","166.4800","262313.0000","166.5400","167.2600","166.0700"
"2019/03/12","165.5500","210944.0000","164.1300","166.6500","164.0230"
"2019/03/11","163.5700","243046.0000","161.8500","164.3500","161.8500"
"2019/03/08","161.0800","286615.0000","158.0100","161.3900","155.3000"
"2019/03/07","159.4200","226786.0000","160.0000","161.0150","157.5725"
"2019/03/06","160.6900","177232.0000","161.0000","161.8500","160.2000"
"2019/03/05","161.6800","266315.0000","162.5000","163.3600","161.1900"
"2019/03/04","162.5000","398060.0000","164.1400","164.5900","158.8800"
"2019/03/01","163.5500","263152.0000","162.6900","164.7000","161.9500"
"2019/02/28","161.7800","273390.0000","159.5600","163.7100","159.5600"
"2019/02/27","159.8700","161082.0000","159.5000","160.4200","158.2000"
"2019/02/26","159.6800","317284.0000","158.9300","160.4300","157.9800"
"2019/02/25","159.4800","168185.0000","159.7500","160.7300","158.8600"
"2019/02/22","158.6100","246858.0000","156.4500","158.9500","156.4500"
"2019/02/21","156.0000","148835.0000","155.3700","156.7300","154.9300"
"2019/02/20","155.8900","257669.0000","155.7600","156.5400","154.6000"
"2019/02/19","155.7600","237786.0000","154.4400","156.5000","154.4400"
"2019/02/15","154.6900","539064.0000","154.0800","154.9300","150.9700"
"2019/02/14","154.0900","1405307.0000","150.5500","158.7900","148.2100"
"2019/02/13","149.5800","299051.0000","148.1900","150.1100","148.1700"
"2019/02/12","148.1900","320826.0000","150.0000","150.0000","146.7600"
"2019/02/11","149.2100","313089.0000","147.3700","150.4200","147.0050"
"2019/02/08","146.4100","231218.0000","143.1900","147.0100","143.1900"
"2019/02/07","144.4000","331137.0000","144.5600","145.4800","143.0100"
"2019/02/06","146.3100","314115.0000","145.0700","146.5400","143.3224"
"2019/02/05","145.2500","415750.0000","144.2900","146.4300","144.2900"
"2019/02/04","144.4700","267514.0000","144.2900","146.3500","144.0200"
"2019/02/01","144.1300","311650.0000","141.6300","144.3900","140.6700"
"2019/01/31","141.4800","319843.0000","140.7500","142.2600","140.4400"
"2019/01/30","141.1000","204391.0000","139.6100","141.4900","137.8700"
"2019/01/29","138.8100","207805.0000","139.2700","139.7500","138.0600"
"2019/01/28","139.3400","314075.0000","139.2500","139.8800","137.6900"
"2019/01/25","140.8000","338442.0000","137.3700","141.3500","136.5600"
"2019/01/24","135.8700","243436.0000","135.4600","137.4200","134.7800"
"2019/01/23","135.3500","175153.0000","137.1500","137.6200","133.9150"
"2019/01/22","136.4600","248362.0000","137.5900","138.7290","135.0700"
"2019/01/18","138.5900","298893.0000","137.7200","139.7600","137.3150"
"2019/01/17","136.2200","418161.0000","135.3400","137.4600","134.6500"
"2019/01/16","135.1700","339155.0000","134.5000","135.8200","133.7500"
"2019/01/15","133.2500","214093.0000","130.1000","133.5200","130.1000"
"2019/01/14","129.8700","329225.0000","128.5000","130.7259","128.4800"
"2019/01/11","130.4800","248059.0000","128.9500","131.2700","128.4200"
"2019/01/10","129.5300","176165.0000","127.7900","129.7900","126.3700"
"2019/01/09","128.5100","252564.0000","126.5300","129.8500","125.8000"
"2019/01/08","125.3700","227317.0000","124.6000","126.1100","122.1200"
"2019/01/07","123.3400","479853.0000","120.0000","124.5900","119.2650"
"2019/01/04","117.3400","278172.0000","114.0000","118.4750","113.3400"
"2019/01/03","112.2900","323319.0000","112.5600","113.9800","111.4400"
"2019/01/02","114.3200","283455.0000","113.7900","115.8930","112.3000"
"2018/12/31","116.0100","244376.0000","114.9800","116.5500","113.7800"
"2018/12/28","114.0400","333011.0000","115.5400","116.0400","112.3000"
"2018/12/27","115.0400","693764.0000","109.9600","115.2100","109.6701"
"2018/12/26","112.7200","280241.0000","108.0000","112.8100","105.8700"
"2018/12/24","106.2800","236480.0000","106.3700","108.0600","104.7700"
"2018/12/21","107.4900","539593.0000","110.0000","110.9400","106.5200"
