BGN,1.9558,1.9558,0.0%
NZD,1.6748,1.6784,+0.21%
ILS,4.0389,4.04,+0.03%
RUB,72.6133,72.1887,-0.58%
CAD,1.5082,1.507,-0.08%
USD,1.1321,1.1301,-0.18%
PHP,,58.381,n/a
CHF,,1.14,n/a
ZAR,15.7631,15.7872,+0.15%
AUD,1.5771,1.5712,-0.37%
JPY,126.76,126.51,-0.2%
TRY,6.535,6.4967,-0.59%
HKD,8.8788,8.8656,-0.15%
MYR,4.658,4.6724,+0.31%
THB,35.955,35.926,-0.08%
HRK,7.435,7.4375,+0.03%
NOK,9.602,9.5778,-0.25%
IDR,15954.12,15917.46,-0.23%
DKK,7.4643,7.4652,+0.01%
CZK,25.623,25.657,+0.13%
HUF,321.9,319.69,-0.69%
GBP,0.8629,0.86593,+0.35%
MXN,21.236,21.2813,+0.21%
KRW,1283.0,1280.65,-0.18%
ISK,135.2,135.6,+0.3%
SGD,1.5318,1.5286,-0.21%
BRL,4.3884,4.4046,+0.37%
PLN,4.2796,4.2731,-0.15%
INR,78.2915,78.457,+0.21%
RON,4.7598,4.7625,+0.06%
CNY,7.5939,7.5594,-0.45%
SEK,10.4788,10.4408,-0.36%
